index,name,groups,methods
1,compute.googleapis.com/firewall/dropped_bytes_count,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
2,compute.googleapis.com/firewall/dropped_packets_count,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
3,compute.googleapis.com/guest/cpu/load_15m,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
4,compute.googleapis.com/guest/cpu/load_1m,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
5,compute.googleapis.com/guest/cpu/load_5m,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
6,compute.googleapis.com/guest/cpu/runnable_task_count,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
7,compute.googleapis.com/guest/cpu/usage_time,['state'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
8,compute.googleapis.com/guest/disk/bytes_used,"['device_name', 'fs_type', 'state']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
9,compute.googleapis.com/guest/disk/io_time,['device_name'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
10,compute.googleapis.com/guest/disk/merged_operation_count,"['device_name', 'direction']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
11,compute.googleapis.com/guest/disk/operation_bytes_count,"['device_name', 'direction']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
12,compute.googleapis.com/guest/disk/operation_count,"['device_name', 'direction']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
13,compute.googleapis.com/guest/disk/operation_time,"['device_name', 'direction']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
14,compute.googleapis.com/guest/disk/queue_length,['device_name'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
15,compute.googleapis.com/guest/disk/weighted_io_time,['device_name'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
16,compute.googleapis.com/guest/memory/anonymous_used,['state'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
17,compute.googleapis.com/guest/memory/bytes_used,['state'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
18,compute.googleapis.com/guest/memory/dirty_used,['state'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
19,compute.googleapis.com/guest/memory/page_cache_used,['state'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
22,compute.googleapis.com/guest/system/problem_count,[],['sum']
23,compute.googleapis.com/guest/system/problem_state,[],['sum']
