index,name
20,compute.googleapis.com/guest/memory/unevictable_used
21,compute.googleapis.com/guest/system/os_feature_enabled
23,compute.googleapis.com/guest/system/problem_state
25,compute.googleapis.com/instance/cpu/guest_visible_vcpus
26,compute.googleapis.com/instance/cpu/reserved_cores
37,compute.googleapis.com/instance/disk/provisioning/size
44,compute.googleapis.com/instance/integrity/early_boot_validation_status
45,compute.googleapis.com/instance/integrity/late_boot_validation_status
46,compute.googleapis.com/instance/memory/balloon/ram_size
48,compute.googleapis.com/instance/memory/balloon/swap_in_bytes_count
49,compute.googleapis.com/instance/memory/balloon/swap_out_bytes_count
60,compute.googleapis.com/mirroring/dropped_packets_count
61,compute.googleapis.com/mirroring/mirrored_bytes_count
62,compute.googleapis.com/mirroring/mirrored_packets_count
63,compute.googleapis.com/nat/allocated_ports
64,compute.googleapis.com/nat/closed_connections_count
66,compute.googleapis.com/nat/dropped_sent_packets_count
67,compute.googleapis.com/nat/new_connections_count
68,compute.googleapis.com/nat/open_connections
69,compute.googleapis.com/nat/port_usage
70,compute.googleapis.com/nat/received_bytes_count
71,compute.googleapis.com/nat/received_packets_count
72,compute.googleapis.com/nat/sent_bytes_count
73,compute.googleapis.com/nat/sent_packets_count
107,kubernetes.io/container/ephemeral_storage/limit_bytes
108,kubernetes.io/container/ephemeral_storage/request_bytes
110,kubernetes.io/container/memory/limit_bytes
113,kubernetes.io/container/memory/request_bytes
116,kubernetes.io/container/restart_count
126,kubernetes.io/node/cpu/total_cores
127,kubernetes.io/node/ephemeral_storage/allocatable_bytes
129,kubernetes.io/node/ephemeral_storage/inodes_total
130,kubernetes.io/node/ephemeral_storage/total_bytes
133,kubernetes.io/node/memory/allocatable_bytes
135,kubernetes.io/node/memory/total_bytes
139,kubernetes.io/node/pid_limit
149,kubernetes.io/pod/volume/total_bytes
150,kubernetes.io/pod/volume/used_bytes
159,prometheus.googleapis.com/kube_horizontalpodautoscaler_spec_max_replicas/gauge
160,prometheus.googleapis.com/kube_horizontalpodautoscaler_spec_min_replicas/gauge
161,prometheus.googleapis.com/kube_horizontalpodautoscaler_spec_target_metric/gauge
