index,name,groups,methods
94,kubernetes.io/autoscaler/container/cpu/per_replica_recommended_request_cores,['container_name'],[]
95,kubernetes.io/autoscaler/container/memory/per_replica_recommended_request_bytes,['container_name'],[]
102,kubernetes.io/container/cpu/core_usage_time,"['container_name', 'pod_phase']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
103,kubernetes.io/container/cpu/limit_cores,"['container_name', 'pod_phase']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
104,kubernetes.io/container/cpu/limit_utilization,"['container_name', 'pod_phase']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
105,kubernetes.io/container/cpu/request_cores,"['container_name', 'pod_phase']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
106,kubernetes.io/container/cpu/request_utilization,"['container_name', 'pod_phase']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
109,kubernetes.io/container/ephemeral_storage/used_bytes,"['container_name', 'pod_phase']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
111,kubernetes.io/container/memory/limit_utilization,"['container_name', 'memory_type', 'pod_phase']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
112,kubernetes.io/container/memory/page_fault_count,"['container_name', 'fault_type', 'pod_phase']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
114,kubernetes.io/container/memory/request_utilization,"['container_name', 'memory_type', 'pod_phase']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
115,kubernetes.io/container/memory/used_bytes,"['container_name', 'memory_type', 'pod_phase']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
117,kubernetes.io/container/uptime,"['container_name', 'pod_phase']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
123,kubernetes.io/node/cpu/allocatable_cores,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
124,kubernetes.io/node/cpu/allocatable_utilization,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
125,kubernetes.io/node/cpu/core_usage_time,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
128,kubernetes.io/node/ephemeral_storage/inodes_free,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
131,kubernetes.io/node/ephemeral_storage/used_bytes,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
132,kubernetes.io/node/logs/input_bytes,['type'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
134,kubernetes.io/node/memory/allocatable_utilization,['memory_type'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
136,kubernetes.io/node/memory/used_bytes,['memory_type'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
137,kubernetes.io/node/network/received_bytes_count,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
138,kubernetes.io/node/network/sent_bytes_count,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
140,kubernetes.io/node/pid_used,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
141,kubernetes.io/node_daemon/cpu/core_usage_time,['component'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
142,kubernetes.io/node_daemon/memory/used_bytes,"['component', 'memory_type']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
145,kubernetes.io/pod/ephemeral_storage/used_bytes,"['pod_phase', 'service']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
147,kubernetes.io/pod/network/received_bytes_count,"['pod_phase', 'service']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
148,kubernetes.io/pod/network/sent_bytes_count,"['pod_phase', 'service']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
151,kubernetes.io/pod/volume/utilization,"['pod_phase', 'service']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
