index,name,groups,methods
74,networking.googleapis.com/node_flow/egress_bytes_count,['protocol'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
75,networking.googleapis.com/node_flow/egress_packets_count,['protocol'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
76,networking.googleapis.com/node_flow/ingress_bytes_count,['protocol'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
77,networking.googleapis.com/node_flow/ingress_packets_count,['protocol'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
78,networking.googleapis.com/node_flow/rtt,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
79,networking.googleapis.com/pod_flow/egress_bytes_count,"['protocol', 'pod_phase', 'service']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
80,networking.googleapis.com/pod_flow/egress_packets_count,"['protocol', 'pod_phase', 'service']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
81,networking.googleapis.com/pod_flow/ingress_bytes_count,"['protocol', 'pod_phase', 'service']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
82,networking.googleapis.com/pod_flow/ingress_packets_count,"['protocol', 'pod_phase', 'service']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
83,networking.googleapis.com/pod_flow/rtt,"['pod_phase', 'service']","['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
85,networking.googleapis.com/vm_flow/connection_count,['protocol'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
86,networking.googleapis.com/vm_flow/egress_bytes_count,['protocol'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
87,networking.googleapis.com/vm_flow/egress_packets_count,['protocol'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
88,networking.googleapis.com/vm_flow/external_rtt,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
89,networking.googleapis.com/vm_flow/ingress_bytes_count,['protocol'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
90,networking.googleapis.com/vm_flow/ingress_packets_count,['protocol'],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
91,networking.googleapis.com/vm_flow/rtt,[],"['min', 'max', 'mean', 'median', 'first_quartile', 'third_quartile']"
